"TCD","DLOC","TCLOC","scores_ANN"
0.1,1,51,6.4
0.3,3,602,7.6
0.2,6,640,8.6
0.3,10.5,1344,8.9
0.5,55,458,8.1
0.2,9,48,7.9
0.3,6,165,8.8
0.5,0,78,6.6
0.7,9,486,7.5
0.5,20,408,7.2
0.5,11,609,8.3
0.4,5,190,7.5
0.3,5,196,7.6
0.2,3,20862,9.2
0.1,4,24,7.7
0.2,4,19,5.9
0.2,40,3262,9.9
0.5,3,2698,5.8
0.2,10,11636,9.2
0.1,3,27,7.8
0.5,18.5,327,8.1
0.2,0,91,8.7
0.2,0,87,6.4
0.2,26,79,6.6
0.5,39.5,113,6.5
0.4,0,91,5.2
0.4,12,146,6.6
0.6,32,230,6.8
0.4,4,2411,6.2
0.1,1.5,3,4.2
0.4,9,252,5.7
0.3,3,126,6.7
0.4,11.5,423,8.9
0.2,3,454,5.9
0.6,16,240,6.5
0.1,3,3,4.2
0.6,10.5,69,5.8
0.6,14,62,6.9
0.5,82,403,7.3
0.2,3,4778,9.6
0.1,3,95,6.5
0.4,5.5,109,7.1
0.5,43.5,226,7
0.4,3,643,7.8
0.4,50,219,7.3
0.1,0,836,9.7
0.3,5,117,6.5
0.3,6.5,9228,7.9
0.4,7,711,8.6
0.3,2,106,6.9
0.2,3,427,8.8
0.4,3,57,7.3
0.4,0,249,6.4
0.4,3,117,6.4
0.2,5,20,5.5
0,0,12,8.7
0.2,3,138,7.3
0.3,3,698,9.6
0.6,5,271,7.8
0,0,1,7.6
0.3,3,74,7.2
0.2,5,184,7.7
0.1,5,20,5.6
0.4,7,924,8.7
0.1,18,1547,11.5
0.3,7,436,7.6
0.4,26,183,6
0.2,3,357,8.2
0.5,31,3704,11.8
0.4,6,174,7.2
0.1,3,3,8.4
0.3,12.5,1566,9.2
0.3,17,40,6
0.4,15,330,6.5
0.4,31,1868,7.7
0.3,3.5,118,6.6
0.3,16.5,105,7.9
0.4,6,514,9.3
0.3,8.5,638,8.5
0.4,15,936,8.6
0.3,4.5,533,6.7
0.6,6.5,171,7
0.4,3,111,6.4
0.5,15,617,7.5
0.3,3,270,7.3
0,0,0,9
0.2,3,18,7
0.3,1.5,70,8.7
0.2,6,2226,10
0.2,3,522,7.8
0.5,31,150,6.2
0.3,3,101,7
0.6,6.5,208,7.8
0.3,29,438,9.2
0.5,10,2645,8.4
0.3,0,73,7
0.5,8,669,8.9
0.1,9,107,8.6
0.3,41,69,5.6
0.2,3,134,7.3
0.2,3,457,8.3
0.2,13,304,8.5
0.2,6,189,8.5
0.6,9.5,284,7.9
0.3,0,105,5.8
0.2,7,238,7.6
0.6,16,132,5.8
0.2,3,17,5.4
0.3,0,219,7
0.4,18.5,677,11.8
0.3,3,250,7.6
0.4,5,208,8.5
0.2,5,31,6.7
0.1,3,19,7
0.3,8.5,4009,8.5
0.1,4,23,8.6
0.2,7.5,320,8.6
0.3,91,1776,12.1
0.6,8,249,7.9
0.4,3,468,7.1
0.8,20,165,5.5
0.2,3,765,8.6
0,0,38,4.8
0.3,49,224,6.6
0.4,4,38,6.1
0.3,4,83,6.4
0.3,10,27,6.9
0,0,17,9.9
0.2,11,388,8.6
0.2,3,110,6.7
0.5,3,273,6.1
0.4,8.5,72,6
0.4,46,180,6.8
0.4,4,583,8.4
0.3,21.5,24687,10.5
0.4,0,284,8.7
0.4,7,85,6.1
0.1,1,1,3.5
0.4,0,52,4.5
0.6,5,282,7.7
