"NG","NPA","TNIN","TLLOC","TNLA","TNLS","scores_ANN"
56,245,2,10176,8,0,11.8
6,7,2,158,7.5,3,6.9
0,17,5,425,3,0,8.2
1,0,0,229,5,0,5
23,0,0,601,5,0,6.9
0,0,0,301,1,0,7.9
0,0,0,41,1,0,5.7
0,0,0,36,0,0,5.7
2,0,0,180,1,0,9.7
2,7,2,472,1,0,7.7
4,2,8,884,2,0,9.2
73,22,2,1304,4.5,0,8.7
1,40,0,2436,0,0,8.6
0,4,3,511,1,0,7.8
5,6,4,827,2,0,8.2
1,0,0,188,0,0,9.9
3,1,0,276,3,0,6.4
1,15,4,387,2,0,8.9
3,0,1,225,2,0,5.5
3,3,0,309,1.5,0,9.1
10,4,0,258,6.5,0,8.2
0,0,0,27,0,0,4.8
20,1,0,1043,0,0,8.9
26,13,0,1487,4,1,11.5
66,21,1,2439,3.5,0,9
0,0,2,228,1,0,7.7
17,74,1,3336,0.5,0,9.3
1,0,0,206,4.5,2.5,6.6
10,4,1,145,3,0,6.6
6,1,6,1739,5,0,9.4
26,2,1,1013,5,0,8.1
0,0,0,198,3,1,5.3
3,6,1,751,5,0,6.6
0,0,0,32,0,0,5.5
16,3,3,2231,1,0,8.7
1,0,0,68,0,0,7.8
0,0,0,7,0,0,4.6
73,17,13,11099,2,0,13
0,4,0,396,4,0.5,6.9
2,1,2,500,8,1,6.5
5,2,1,1465,3,0,9
8,0,0,102,0,0,5.7
7,5,2,197,0,0,6.1
1,0,0,340,5,0,5.4
1,1,0,32,0.5,0,4.4
8,0,0,425,2,0,6.5
0,2,0,274,1,0,7
256,161,15,22511,2,0,10.8
1,15,1,1087,11,0,7.9
4,4,1,30,4,0,5
105,7,0,3563,2,0,9.5
2,0,0,28,1,0,6.3
7,23,1,571,13,1,9.4
0,0,0,409,0,0,6.7
0,0,0,88,0,0,5
0,0,0,166,0,0,5
0,0,0,27,0,0,4.4
0,0,0,84,0,0,5
0,0,0,263,1,1,6.9
0,0,0,44,0,0,4.3
0,0,0,463,0,0,6.2
2,0,0,612,2,0,6.9
2,0,1,565,3,0,9.5
8,39,0,666,3,0,7.5
0,0,0,37,0,0,4.4
0,0,0,44,0,0,4.4
0,0,0,129,0,0,5
1,7,0,526,3,0,7.1
0,0,1,50,0,0,6.5
0,0,1,62,0,0,8.3
42,10,2,977,1,0,9.5
0,0,0,91,0,0,5.4
0,0,0,103,1,0,5.6
0,0,0,148,0,0,4.8
0,0,0,161,0,0,5.7
0,0,0,115,0,0,4.8
3,0,0,600,0,0,8.4
82,6,4,11319,8,0,11.4
0,0,0,289,0,0,5.7
0,0,0,35,0,0,4.4
0,0,0,481,0,0,6.2
0,0,0,54,0,0,5
0,0,0,28,0,0,4.4
0,0,0,102,0,0,5.6
49,1,0,1494,1,0,9
0,0,0,103,0,0,5.7
0,0,0,314,0.5,0,6.5
1,0,0,575,1.5,0,6.8
0,1,0,169,3,0,7.8
0,0,0,693,1,0,7.1
5,0,0,285,0,0,6.5
0,0,0,195,0,0,6.1
0,0,0,401,1,0,6.8
1,0,0,117,2,0,7.1
1,4,0,409,0,0,6.9
7,5,2,979,1,0,8.3
0,3,0,204,1,0,6.8
0,1,0,170,3,0,8.2
17,0,0,197,14.5,0,6.9
0,4,0,338,4,0,7.4
0,1,0,457,7,0,6.8
12,85,1,866,7.5,0,10.4
6,0,1,307,2.5,0,7
1,0,1,1448,1,0,7.6
9,3,4,354,0.5,0,8.5
35,2,1,810,2,0,8.1
13,147,6,16494,3,0,10.6
0,49,0,709,40,1,8.3
0,0,0,117,0,0,5.7
24,12,3,1421,6.5,4.5,9.9
23,22,0,2330,0,0,8.8
1,0,1,800,9,0,9.7
14,0,1,1550,3,0,7.3
31,3,2,1922,7.5,1,8.4
3,2,0,43,1,0,5.7
2,1,0,55,1,0.5,5.8
2,1,0,113,2.5,0,5.8
8,0,0,300,4,0,7.9
2,1,0,102,1,0,5.9
2,0,0,111,3,0,8.2
0,2,0,932,1.5,0,8.3
2,1,0,101,1,0,5.6
4,0,0,255,3,0,8.4
0,0,0,160,2,0,9.6
1,0,0,429,1,0,8.4
62,0,6,2310,0,0,8.9
16,3,3,1233,3,0,7.9
69,275,1,7436,7,0,9.2
7,9,2,553,3,0,11.4
3,13,0,306,8.5,0,9.6
47,20,3,2608,2,0,9.3
0,2,0,44,4,0,5.2
24,44,0,5289,38.5,6.5,10.2
1,0,0,97,1,0,5.6
1,18,5,495,3,0,9
23,188,0,3651,1,0,11.7
4,0,0,289,0,0,7.2
49,18,1,1930,3,0,10.3
4,6,0,121,1.5,0,6
0,0,1,13,0,0,4.9
0,0,0,23,1,1,8.2
0,0,0,278,3,0,8.4
23,9,7,420,6,0,6.9
83,18,0,2944,2,0,9.1
0,0,1,647,1,0,8.2
8,0,0,266,1.5,0,8.2
4,0,0,183,1,0,7.7
21,8,0,821,1,0,10
0,0,0,402,1,0,7.4
0,0,0,214,3,0,7.6
4,0,0,113,1.5,0.5,7.4
2,0,0,162,2,0,6.7
18,2,0,244,3,1,7.9
67,10,11,11833,3,0,9.1
1,0,0,141,0,0,8.3
14,2,6,1660,4,0,10.6
10,2,1,246,3,2,7.2
2,0,1,110,3,0,6
27,0,2,756,1,0,7.7
6,2,0,218,2.5,0.5,9.9
1,0,2,357,13,0.5,10.3
164,42,1,4243,1,0.5,11.6
34,5,0,1354,1,0,9.2
4,0,0,456,1.5,0,10.4
2,0,0,24,1,0,6.1
4,46,3,5934,8,0,10.7
2,0,0,137,1,0,7.4
58,37,2,1477,2,0,8.5
2,0,1,291,2,1,8.7
0,0,0,2449,2,0,10.5
1,2,7,7814,14,0,7.6
0,0,2,435,4.5,0,7.5
1,19,0,317,3,0,7.7
1,1,0,8,1,0,4.2
1,1,0,72,4,0,5.7
6,0,1,208,1,0,6.7
37,8,25,25412,0,0,8.2
39,0,0,545,2,0,7.9
20,56,7,6265,3,0,12.4
2,0,0,86,3,0,7
3,0,0,429,2,1,10.3
0,0,0,331,3,0,6.2
0,0,1,2399,9,0,8.3
5,0,0,135,4,1,9.1
0,1,0,531,4,0,8.3
5,0,1,511,3.5,0,9.6
138,238,10,24557,2,0,10.7
103,17,1,5272,1,0,9.4
10,2,2,1169,0,0,8
3,0,1,106,2.5,0,6.1
1,0,0,311,3,0,5.9
25,41,3,2720,3,0,8.8
45,5,11,2738,2,0,8.7
1,6,1,779,9.5,2.5,10.3
3,0,1,317,8,3,7.1
7,7,1,1242,5,0,11
1,0,6,2455,1,0,8
3,0,0,162,1,0,6.6
0,0,0,92,8,0,6.5
15,37,0,507,0,0,7.6
2,16,6,2878,5,0,10.1
0,0,1,131,1,0,6
1,5,0,6004,13.5,6.5,7.2
7,5,0,2696,2,0,8.6
144,3,3,1913,1.5,1.5,9.3
0,0,2,642,1,0,6.7
182,22,10,15404,1,0,13.1
1,0,0,112,2,0,6.6
19,8,5,1518,2,1,10.9
74,50,9,8402,1,0,9.7
35,10,18,8628,8,0,10.2
31,11,3,2446,15.5,0,9.3
43,31,0,1358,3.5,0,9.5
0,1,0,314,1,0,9.5
0,15,0,22,7.5,0,5.9
24,0,0,739,3,3,7.6
13,0,18,8152,2,0,7.8
5,0,1,65,1,0,6
0,0,0,25,0,1,6.5
0,3,0,445,3,0,7.3
0,0,0,52,5,0,4.8
1,0,0,67,1,0,5.3
25,48,0,2392,4.5,0,8.4
5,0,0,55,1,1,7
7,0,0,971,0,0,7
21,32,1,1842,3.5,0,8.6
43,49,4,15179,0.5,0,10.3
0,0,0,64,0.5,0,4.8
15,16,0,619,18,0,7.6
1,4,0,73,2,0,4.9
1,0,0,197,8.5,0,6.2
1,0,0,61,2,0,4.8
0,0,0,85,0,0,5.8
1,0,0,85,0.5,0,9.8
2,3,0,243,2.5,1,6.8
17,11,0,1529,3,0,7.8
16,0,2,555,4,1,8.6
3,0,0,98,0,1,5.2
1,0,1,72,2,0,5.7
55,45,2,4988,1,0,9.6
1,0,0,223,3,0,6.3
31,9,1,2060,2,0,8.6
0,0,0,31,0,0,4.3
0,0,0,43,0,0,5.4
4,0,1,191,3,0,6.1
0,0,0,38,2,0,8.3
4,0,0,94,0,0.5,6.1
0,11,1,213,0.5,0,7.9
520,76,1,8659,1,0,12.3
1,0,2,2703,11.5,0.5,7.9
0,0,0,39,3,0,4.3
0,1,0,34,1,0,6.8
49,0,1,1781,2,0,9
0,0,0,19,0,0,5.4
0,2,0,163,1,0,6.7
0,0,0,37,3,0,4.3
68,14,0,3428,2,0,9.2
7,6,2,283,1,0,7.1
71,3,2,2631,3,0.5,9.8
26,12,5,3257,1,0,12.2
4,0,0,113,1,0,4.9
4,0,1,238,2.5,0,6.9
4,1,1,320,1,0,8
0,0,0,44,3,1,6.6
4,0,0,98,0,0,6.2
0,0,0,1444,0,0,8.8
1,0,1,75,1,0,5.8
41,16,11,4512,4,0,9.3
0,2,0,197,1,0,6.8
55,2,0,1139,2.5,0,8.3
0,2,2,579,2,0,7.4
3,0,4,402,1,0,5.7
0,0,1,229,0,0,8.2
7,11,0,809,26.5,0,7.3
0,5,3,1714,0,0,7.2
0,3,2,1556,3.5,0,8
24,1,1,1419,1,0,10.8
0,0,0,172,3.5,1.5,6.6
142,37,1,6741,2,0.5,10.9
126,24,23,21540,2.5,0,9.3
18,2,2,1356,1,0,8.2
5,0,0,189,1.5,0,8.5
40,8,2,1370,1.5,0.5,7.9
0,0,0,20,0,0,4.6
149,4,9,6493,2.5,0,9.8
17,15,1,4111,0,0,9
2,12,0,673,1,0,7.6
138,10,31,7449,1,0,12.6
2,0,1,157,2.5,1,6.6
11,1,0,348,2.5,0,8.5
0,3,0,182,3,0,5.8
2,0,0,706,1,0,7.9
10,0,0,156,1,0,9.6
0,0,1,178,1,0,7.4
0,1,0,280,3,1,7.5
3,0,0,83,2,0,4.6
0,0,0,2,0,0,6
0,0,1,21,0,0,4.3
0,0,0,6,0,0,3.6
0,0,0,40,0,0,5.1
1,0,0,13,1,1,5
20,28,0,324,2,1,7.7
4,0,0,215,2,0,6.4
0,0,0,161,6,1,8
4,0,0,276,4,1,6
3,0,0,76,1,0,8.2
0,1,0,4,1,0,4
44,43,2,4808,4,0,9.5
12,0,53,24373,1,0,7
7,6,2,538,5.5,0,10.5
6,4,0,776,5,1,11
4,0,0,890,2,0,5.7
2,0,4,353,2,0,7.4
1,0,0,28,1,0,6.3
53,9,27,10323,2,0,9.8
5,0,0,145,1,0,8.9
0,2,2,9135,1,0,6.9
0,0,0,76,5.5,1,6.6
0,0,0,33,0.5,0,6.1
95,14,0,2429,1,0,9.6
20,0,2,470,1,0,7.6
1,0,2,938,0,0,6.1
0,0,0,230,2.5,0,7.5
0,5,38,8788,5,0,4.7
0,0,0,921,1,0,9.4
3,0,0,94,1.5,1,7.1
0,0,0,93,1,0,5.5
9,0,0,2690,0,0,10.2
0,0,0,70,1,0.5,7.7
2,0,0,322,2,0,6
0,0,0,107,5,0,6.5
4,0,0,147,3,0,6
11,3,0,1259,2,0,9.8
1,0,0,141,4,0,5.9
27,3,4,19405,0,0,9
11,106,1,1863,0,0,8.7
5,2,0,999,2,0,7.4
38,4,3,1305,2,0,8.5
0,0,0,75,3,3,6.7
40,2,2,1929,2,0,8.9
32,6,1,1881,3.5,1,10.8
1,0,1,15,1,1,7.3
1,0,0,116,2,0,5.7
79,10,7,7355,4,0,9.2
15,20,0,1119,4,0,7.2
2,0,0,278,1.5,0,6.6
3,0,0,66,2,1,6.4
3,5,1,202,3,0,6.5
0,0,1,43,1,0,4.9
0,0,2,1954,0,0,7.1
1,0,0,38,0,0,4.4
11,1,0,6203,1,0,9.2
41,0,2,2589,4,0,8.5
9,0,2,558,10.5,4,11.3
0,0,0,60,0,0,6.8
0,0,0,56,0,0,5.8
0,0,0,44,0,0,5.1
34,4,2,1854,1,0,8.9
15,6,2,1625,3.5,0.5,9.7
17,16,2,2030,3,0,10.9
15,4,0,624,3,1,8.9
2,0,0,179,0,0,7.8
0,0,0,60,3,3,6.6
4,3,0,576,1,0,6.9
1,0,0,155,2,0,5.1
0,0,0,90,2,0,5.3
9,14,1,525,3,0.5,7.2
6,0,0,43,6,0,5.8
0,0,0,124,1,1,4.9
30,31,0,1880,1,0,8.4
2,10,0,367,32,0,6.8
10,0,2,346,3,0,8.5
0,5,0,228,0.5,0,6.7
0,2,0,637,16,0,6.5
0,0,0,18,0,0,6.2
5,0,1,532,5,0,7.7
1,7,0,264,11.5,0,6.7
0,0,0,72,8,0,5.2
0,0,0,64,3,1,6.5
0,3,1,3127,3,0,8.3
3,3,0,1069,3,0,8.2
23,3,0,212,13.5,12,8.5
1,0,0,172,2,0,5.4
18,2,2,1285,4,1,8.7
0,1,0,259,4,4.5,7.8
0,0,2,795,1,0,4.5
309,73,34,15330,2,0,10.4
4,9,0,156,14,0,8.3
36,2,0,1254,4,0,7.7
14,0,0,314,3.5,0,7.1
3,0,4,772,5,4,7.1
3,0,2,92,0,0,7.2
35,2,2,6710,4,0,9.5
19,0,1,1101,2,0,8.4
0,0,0,260,2.5,0,6.1
9,6,0,688,1.5,0,7.5
7,0,0,415,5,0,6.1
2,0,0,21,2,0,5.1
1,14,0,1058,6,0,7
1,4,3,1439,6,0,6.8
0,2,0,577,0,0,6.9
0,0,0,8,0,0,6.6
4,8,0,999,2,0,9.1
6,2,0,595,1,1,7.6
1,0,0,57,3,1,6.7
43,9,7,4270,3,0,8.6
27,0,1,1001,1,0,8.1
0,0,0,26,1,0,4.8
15,33,1,4002,7,0,9.3
5,0,0,160,1,0,7.4
65,1,0,4901,2,0,10.5
161,14,146,89569,1,0,11.2
3,1,0,429,9,0.5,9
1,4,0,300,11.5,0,6
4,0,0,273,0,0,8.5
2,5,0,102,2,0,7.1
3,0,3,1184,1.5,0.5,6.1
4,0,1,328,10.5,7.5,8.2
0,0,0,19,0,0,7.1
1,0,0,12,0,0,7.4
4,0,0,183,0.5,0.5,5.9
1,2,1,978,3,0,7.7
11,14,5,1892,1,0,8.2
10,11,0,392,6.5,0,8
550,68,7,13825,2.5,1,10.7
17,0,0,144,3.5,3.5,7.2
56,8,10,5759,3.5,1.5,9.3
48,5,41,51078,1.5,0,8.6
0,0,0,68,0,0,5.9
0,0,0,93,1.5,1,7.7
0,0,0,10,0,0,6.6
0,75,11,2765,1,0,10.2
10,0,1,506,2,0,7.8
21,9,1,214,2,0,8.2
0,0,0,131,4,0,7.3
0,0,0,395,2,0,8.2
13,22,0,557,2,0,9.5
0,13,0,261,11.5,0,7.5
7,0,0,190,29,14,10.3
0,0,0,119,0,0,6.5
7,0,1,135,3,1,7.6
0,0,0,26,0,0,4.7
18,4,4,696,1,0,8.2
0,87,0,209,21.5,0,5.9
0,0,0,74,0,0,4.7
22,2,3,2121,1.5,0,7.3
8,1,0,261,0.5,0,6.6
11,11,1,401,5,0,7.7
1,5,0,1206,7.5,0,8
1,1,0,89,0,0,6.8
7,3,1,264,2.5,1.5,8.2
2,0,0,211,8.5,0,6.4
9,0,1,145,2.5,0.5,7.7
4,1,0,95,0,0,6
29,1,0,958,2,0,7.7
1,1,0,188,5,0,6
4,6,1,969,0,0,8.2
4,6,0,293,19,2,6.8
9,7,0,433,1,0,6.8
12,30,4,2113,4,0,8.8
0,0,0,64,2.5,0,6.5
0,0,0,480,0,0,6.7
1,95,9,3894,3,0,12.5
0,47,0,88,24,0,6.5
0,3,1,258,2,0,9.4
0,0,0,47,0,0,4.7
0,0,0,51,0,0,5.5
0,0,0,73,0,0,4.7
95,11,0,3146,3,0,8.9
11,1,0,208,1,0,6.7
0,0,0,1416,1.5,0,6.1
9,1,1,304,1,0,8.4
1,1,0,41,0.5,0,5.1
39,10,0,525,24,0,9
0,3,0,278,0,0,8
1,0,0,93,8,2,6.6
526,220,7,11652,1,0,11.7
