"TCD","DLOC","TCLOC","scores_ANN"
0,0,4,2.9
0,0,1,4.9
0.2,39,39,4.1
0,6,14,5.4
0.1,2,2,2.3
0.2,36,66,1.6
0,0,1,5.5
0.4,3,3,0.1
0.2,8,8,2
0.2,3,3,2.1
0.2,0,1,4.1
0.3,16,20,1.5
0.3,3,3,2.2
0,1,1,5.5
0.1,6,24,4
0.1,0,14,5.6
0.1,3,6,1.2
0.4,43,43,2.3
0.2,8,8,2.6
0.2,16,16,2.3
0.2,5,5,2
0.2,9,9,7.3
0.1,3,3,2.4
0,0,0,4.9
0.8,18,18,1.5
0.3,5,5,2.6
0,1,1,5.8
0,3,3,2
0.6,16,16,2.3
0.3,4,4,2.1
0,5,9,4.1
0.3,17,17,2.8
0.6,17,17,2.3
0,2,5,4.9
0.2,3,3,2.6
0.1,11,11,2.1
0.1,0,3,2
0,1,1,3.4
0.1,0,1,6.6
0,0,0,5.2
0.2,24,37,4.7
0.1,7,33,4.9
0,3,3,4.8
0.1,3,3,3
0.1,10,14,2.1
0.8,23,23,1.5
0.1,0,1,4.1
0.6,82,82,3.3
0.1,9,9,3.3
0.2,10,10,2.9
0,3,3,4.9
0,0,18,2.9
0.1,3,3,4.5
0.1,3,5,4.5
0.3,78,97,2.4
0.1,0,2,4.9
0,0,7,4.8
0.4,0,5,4.8
0.2,3,3,3.7
0.4,286,291,5.9
0,0,40,6.8
0.2,8,20,1.4
0.2,8,19,4.7
0.2,1,1,0.8
0,5,5,4
0.1,5,9,3.3
0.1,3,3,3.1
0.2,3,3,1.8
0.5,64,70,2.4
0.6,32,36,4.9
0.3,37,43,2.5
0,0,0,0.6
0.4,166,175,3.9
0.1,5,14,1.9
0.1,5,7,1.7
0,0,0,6.1
0.3,2,2,2.7
0.4,30,30,5.1
0.1,0,4,2.4
0.1,1,1,1.7
0.2,5,5,2.7
0,0,3,5.2
0.2,6,8,4.5
0.3,23,24,8.3
0,3,3,5
0.2,8,10,3.2
0.1,0,7,5.5
0.1,4,4,1.2
0.1,8,146,5.9
0,0,3,3.4
0.4,27,27,5.1
0.2,8,8,2.8
0.3,3,3,2.1
0.4,4,4,0.8
0.2,3,12,1.5
0.2,18,18,1.5
0.1,7,7,2.9
0.3,3,3,3.2
0.4,106,111,3.4
0.1,7,7,3.2
0.7,88,88,2.7
0.8,142,142,8.8
0.1,3,16,3.5
0.1,3,3,4.2
0,0,0,7.2
0.1,0,1,3.2
0,3,3,1.2
0.3,5,5,3.3
0.1,5,5,3.5
0.2,0,1,1.9
0.2,14,17,3.5
0.2,5,5,2.3
0.1,2,2,2.8
0.2,17,19,4.5
0.1,6,6,1.2
0.1,12,18,4.2
0.1,5,5,2.8
0.5,34,34,4.1
