"McCC","WMC","NL","scores_ANN"
1.3,17,1,2.4
1.3,5,0,4.9
2,24,2,2.5
2,0,0,0.6
2.3,41,3,3.9
1.7,5,1,1.9
1,7,0,1.7
1.4,8,1,5.3
1.4,6,3,2.5
1.4,1,0,2.7
3.7,11,5,6.1
2.5,9,1,5.1
3.5,7,2,2.4
1.2,5,1,4.1
2,3,2,6.1
2,1,0,2.7
1.3,4,1,4.1
1.3,0,0,1.8
1.3,7,0,5.2
1.3,7,0,4.5
1.3,14,3,8.3
1.3,3,1,5
1.3,4,2,3.2
2,2,0,1.9
7,7,2,5.5
4.5,9,4,1.2
2.2,138,5,5.9
2.9,23,3,3.4
1.5,9,1,5.1
1.5,3,1,1.1
2,2,1,2.8
1.2,5,0,5.1
2.8,11,2,1.5
1,3,0,3.1
1.5,9,1,1.3
1.2,25,2,4.9
1.5,2,0,2.6
1.5,2,0,2.9
1.5,1,0,2.3
1.5,16,1,4.8
2.3,28,3,3.4
1,1,0,3.3
1.6,5,1,1.9
1.6,9,2,3.2
2,14,1,2.7
4,4,2,2
1,13,0,8.8
1,6,0,3.5
1,7,0,4.2
1,155,1,7.2
1,3,0,1.2
1,2,0,3.3
2.2,9,3,3.5
2.5,5,2,2.9
1.2,5,1,3.2
5.3,16,4,3.5
1,4,0,2.3
1,3,0,2.8
1.8,25,2,4.5
1.7,5,1,1.2
1.3,31,3,4.2
2,2,0,0.7
1.3,8,1,4.1
1.4,19,2,4.5
2.5,73,2,3.1
2.3,8,2,0.8
1,6,0,5.4
1.5,17,1,1.5
3.5,1,0,2.7
3.5,6,2,2.1
2.1,42,3,5.4
1.2,1,0,3.3
1.2,5,0,4.1
2,6,2,0.4
2.1,46,3,4.1
1.8,16,2,4.7
2.8,26,3,4.6
2.8,6,3,1.9
2.8,5,1,1.9
5,15,3,4.6
2.7,8,2,2.4
2,8,4,0.6
1.4,10,1,2.1
3.2,16,3,0.6
1,3,0,0.8
1.7,12,2,5.8
1.2,5,1,2.8
1,7,0,4.1
1.3,12,1,3.5
1.3,33,1,4.8
1.7,4,2,1.6
1,4,0,4.2
1.5,1,0,2.6
1.5,6,1,2.1
1.5,8,1,5.3
1.5,3,0,2.6
1.5,5,1,2.1
4.9,122,5,5.7
3,14,2,2.7
1.8,11,2,4
1.2,7,1,3.2
2.9,32,6,3.3
1,2,0,0.3
1.6,8,2,4.3
1.3,12,1,2.5
2,12,1,2.6
3,3,2,2
6,6,3,1.9
3,15,3,1.7
2,11,1,5.4
2,75,4,6.4
1.7,37,3,3.6
1.3,2,0,5.4
1.3,36,1,4.9
1.2,52,1,5
2,43,3,4
11,11,4,4.6
1,8,0,2.2
1,3,0,3.3
1.1,5,0,5.3
1.1,4,0,4.1
1.2,37,1,4.1
1,0,0,1.1
1,13,0,5.1
1.4,18,2,4.7
1.5,12,1,3.2
1.2,1,0,2
1.5,0,0,1.9
1.5,3,0,2.9
1,3,0,1.7
1.7,15,2,3.3
2.2,3,0,3.3
2.2,85,5,5.2
2.2,12,1,5.1
2.2,2,0,3.5
2.2,6,0,4.6
2.2,2,0,2.9
1.5,17,2,4.6
3,3,1,1.9
5,5,2,2
1.3,4,0,2.3
1.2,3,0,4.1
1.2,24,1,4.6
1.2,3,1,2.2
1.3,2,1,4.1
1,2,0,1.3
2,2,1,2.4
2,2,1,1.2
3.4,1,0,4.4
3.4,23,3,1.5
1.2,7,1,2.5
1.6,8,1,1.8
2.2,7,2,4.2
2.2,30,2,2.8
2.2,27,6,3.4
2.2,1,0,2.7
1.3,4,1,2.4
2,22,2,4.2
1.4,9,2,6.1
1.4,14,1,8.8
1.2,4,0,2.5
1.2,166,2,6.3
1,12,0,3.2
2,12,2,3.2
2.1,42,3,4
2.2,9,2,1.5
1,2,0,2.7
2.2,48,4,3.7
1.1,7,1,1.9
1.4,49,2,4.7
1.4,5,1,2
1.1,1,0,2.3
1.1,12,1,5.6
3,12,2,2.7
1.5,22,1,3.4
2,2,1,2.3
2,0,0,2.7
2.2,18,5,3.3
2.2,6,0,4.1
1.1,6,0,3.1
1.8,2,2,2.1
1.8,9,2,1.2
2.1,2,0,2.9
2.1,38,2,2.5
3.4,3,1,2.4
3.4,8,1,3.5
3.4,37,6,4.3
1.8,9,3,3.1
1.3,4,0,3
6.4,108,4,1.6
2.1,53,3,4.2
1.5,5,1,1.9
1.5,4,1,4.2
1.4,2,0,5.6
1.4,8,1,4.7
1.4,15,1,5.7
1,12,0,5.7
1.3,3,1,2.5
1.3,15,1,4.7
3,3,2,4.1
1,1,0,5.3
1.2,6,1,3
3.4,44,5,5.4
1.6,14,2,5.4
1.4,6,2,1.2
2,4,1,4
1.2,6,1,2
1.5,15,1,2.4
6,6,2,4.4
2.5,3,3,1.2
2.5,7,3,3.4
1,5,0,2.9
2.2,1,0,4.1
2.2,321,6,7
2.2,17,2,3.5
2.2,13,1,3.4
2.4,12,4,5.5
4.6,32,6,4.2
2.4,67,3,4.1
2.4,4,0,2.7
2.1,19,4,6.4
1.7,10,1,3.2
1.1,4,0,3.5
1.1,5,1,2.8
1.7,10,1,3.1
3.1,56,3,4.7
1.7,10,1,3
1.3,9,0,2.9
1,3,0,2.7
1,6,0,2.5
6.8,30,4,4
6.8,2,1,4.2
1,6,0,2.6
1.8,9,3,4.9
1.8,4,1,2.9
1.8,1,0,3.8
1,0,0,0.6
1,10,0,2.9
2.2,9,2,2.2
2.3,2,1,1.9
2.3,5,1,1.2
1.3,4,1,4.4
1.5,0,0,0.6
1.5,6,2,2.3
1.4,9,1,2.1
1.4,1,0,3
1.4,7,2,2.8
1,1,0,1.6
1,5,0,3.9
1.4,1,0,4
1.4,23,4,6.6
1.4,4,0,6.4
1.5,5,1,1.2
1.5,1,0,1.4
1.3,30,2,5
3,2,0,4.4
3,16,3,2.3
1,0,0,0.9
1.5,12,2,3.5
1.1,36,1,4.7
1,2,0,0.9
1,1,0,2.4
2.5,5,2,0.3
2,47,3,4.1
1.5,40,3,3.8
4.5,18,3,2.3
1.7,10,1,4.4
1.7,2,0,2
1.7,3,2,1.8
1.5,16,1,3.5
1.5,1,0,0.1
2,2,0,2
1,0,0,1.6
2,16,2,3.2
1.9,42,2,4.1
