"NUMPAR","TNG","TNA","NPA","TLLOC","TNLS","scores_ANN"
14,0,0,0,66,0,4.4
14,1,5,0,38,0,2.3
14,0,0,0,4,0,2.5
14,3,6,0,19,0,5
0,1,0,0,149,0,4.7
6,0,4,0,422,0,4.8
7,17,17,0,239,0,2.7
11,0,9,0,120,0,4.1
7,1,10,1,167,0,4.3
13,0,3,0,151,0,2.8
13,1,3,0,20,0,3.8
13,0,1,0,10,0,1.9
13,0,0,0,8,0,3.9
3,0,4,0,42,0,4.4
0,2,0,0,7,0,1.8
6,32,13,2,270,0,1.8
0,0,0,0,10,0,2
0,2,0,0,6,0,1.7
0,0,0,0,9,0,1.9
6,0,0,0,14,0,5
6,0,3,0,20,0,6.5
0,0,0,0,58,0,4.3
3,2,2,0,39,0,1.2
7,1,10,1,169,0,4.3
2,2,0,0,6,0,1.7
2,2,2,0,8,0,1.9
2,5,2,1,39,0,1.7
2,7,12,0,9,0,5.3
4,0,1,0,39,0,1.7
8,0,1,0,3,0,1.8
8,0,3,0,59,1,5.3
8,0,1,1,13,0,2.5
8,1,9,0,59,0,2.3
3,9,4,0,58,0,1.5
8,1,4,1,88,0,4
1,8,1,0,45,0,3.5
4,2,6,0,34,0,2.1
12,2,11,0,197,0,3.4
7,1,4,1,112,0,3.9
0,0,0,0,6,0,2.8
5,0,1,0,29,0,2.2
33,2,3,0,242,0,1.5
6,0,9,0,67,0,2.2
6,0,2,0,11,0,4.3
6,2,2,0,11,0,1.9
6,0,6,0,84,1,1.9
1,0,6,0,379,0,4.7
0,0,2,0,46,0,0.7
14,4,0,0,69,0,3
50,0,0,0,23,0,4.6
50,1,9,0,29,1,4.5
50,0,0,0,23,0,6.7
50,10,17,0,313,1,4.6
10,4,3,0,74,0,2.9
2,0,1,0,20,0,2.1
17,4,6,0,216,1,3.2
2,0,0,0,12,0,1.5
1,0,0,0,21,0,1.9
9,2,14,0,130,0,2.8
4,1,1,0,24,0,2.1
3,0,1,0,25,0,2.3
7,1,4,0,82,0,1.9
3,0,2,0,26,0,2.3
3,0,2,2,23,0,5.3
