"NII","RFC","CBO","scores_ANN"
0,10,6,4.1
0,39,25,6.1
1,7,8,4.1
0,6,3,2.7
0,9,5,5.2
1,13,12,4.5
0,17,5,8.3
0,2,3,5
0,3,2,3.2
3,7,1,2.8
0,15,12,1.9
0,28,15,5.5
0,15,17,1.2
2,225,78,5.9
0,40,20,3.4
3,6,0,5.1
0,3,2,1.1
1,2,3,2
1,2,1,3.4
0,2,1,2.8
4,1,2,2.1
2,4,0,5.1
5,2,1,0.8
1,19,17,1.5
6,4,3,3.1
4,7,5,1.3
6,6,9,1.5
4,41,4,4.9
0,2,1,2.6
1,5,5,2.9
0,1,3,2.3
1,12,4,4.8
18,3,2,3.2
24,17,3,3.4
2,13,7,3.2
7,7,1,2.7
0,5,3,2
14,13,0,8.8
0,15,7,3.5
0,7,1,4.2
2,4,2,2.8
163,304,6,7.2
3,7,11,1.2
4,4,3,3.3
0,2,0,3.1
1,10,6,3.5
0,1,4,1.9
0,5,4,2.9
1,22,24,3.2
2,12,6,3.5
2,4,1,2.3
0,2,2,1.8
0,4,2,2.8
1,30,15,4.5
1,12,14,1.2
4,28,12,4.2
0,3,7,0.7
0,8,4,2.8
2,4,1,2.1
0,6,4,4.1
1,24,11,4.5
5,100,56,3.1
1,8,3,0.8
4,6,0,5.4
0,11,6,1.5
3,26,12,1.5
0,2,1,2.1
55,43,19,5.4
2,10,2,4.1
2,5,4,0.4
40,30,5,4.1
0,21,7,4.7
0,5,8,1.2
4,31,12,4.6
0,10,7,1.9
0,29,15,4.6
0,3,0,2.4
1,6,9,1.4
0,7,5,2.6
1,13,10,0.6
6,13,6,2.1
5,26,20,0.6
2,3,5,0.8
0,1,2,1
1,11,6,5.8
0,4,2,1.9
67,5,4,2.8
0,1,0,4
0,7,0,4.1
35,9,1,3.5
3,30,3,4.8
0,14,11,1.6
17,7,6,4.2
0,1,1,2.1
0,3,0,2.6
0,18,13,2.1
6,68,21,5.7
1,16,11,2.7
4,10,14,4
7,17,20,3.2
299,40,32,3.3
1,4,7,0.3
0,35,3,4.3
11,3,2,2.6
9,14,4,2.5
0,5,5,2
3,6,4,2.6
1,2,2,2.7
0,5,4,1.9
1,31,22,1.7
1,2,2,4.1
24,17,9,5.4
75,60,16,6.4
1,1,0,2.7
2,10,13,3.6
0,5,4,5.4
3,32,3,4.9
97,49,17,5
72,27,8,4
0,21,12,4.6
0,25,21,2.2
0,6,5,3.3
0,9,5,5.3
0,4,1,4.1
0,2,1,3.1
2,30,0,4.1
0,0,0,1.1
12,20,6,5.1
0,24,20,2.2
0,1,1,2
0,27,2,4.7
4,11,4,3.2
0,0,0,1.9
1,2,0,2.9
4,3,2,1.7
3,9,0,3.3
0,15,4,3.3
0,29,20,5.2
0,10,5,5.1
2,3,2,3.5
11,10,3,4.6
1,9,8,2.1
0,25,3,4.6
0,8,9,2.8
2,2,4,4.2
0,2,9,1.2
2,5,10,4.1
3,24,3,4.6
0,2,1,2.2
0,2,2,4.1
1,2,7,1.3
0,4,4,2.4
0,3,12,1.2
0,1,2,4.4
1,31,23,1.5
0,3,4,1.6
1,4,9,1.6
2,6,3,1.8
0,5,3,4.2
81,27,5,2.8
6,18,6,3.4
2,2,9,1.2
2,6,10,1.2
0,2,0,3.2
1,29,22,4.2
2,6,1,6.1
0,14,2,8.8
0,2,1,2.5
49,150,8,6.3
0,20,1,3.2
0,14,5,3
10,12,7,3.2
41,26,9,4
0,2,1,3.6
10,3,0,2.6
1,14,17,1.5
0,4,0,2.3
0,6,5,2.7
2,9,5,2
2,28,5,3.7
1,13,15,1.9
0,124,50,4.7
0,11,7,2
0,1,1,2.3
2,19,9,5.6
2,4,0,2.7
13,16,2,3.4
0,10,4,2.2
0,2,4,2.7
0,2,2,2.3
1,6,2,3.3
15,13,8,4.1
6,9,8,3.1
0,1,2,2.4
0,17,13,2.1
3,17,10,1.2
2,4,5,2.9
15,32,13,2.5
0,3,5,2.6
0,22,18,2.7
0,9,5,2
0,2,5,2.4
0,14,3,3.5
1,15,5,4.3
0,29,20,3.1
4,6,7,3
0,7,7,4
6,136,72,1.6
103,34,8,4.2
0,5,6,4
0,7,6,1.4
0,3,5,4.1
1,6,8,4.2
1,6,3,5.6
1,9,3,4.7
14,17,10,5.7
4,24,9,5.7
0,6,4,1.4
0,28,6,4.7
0,4,4,4.1
0,2,3,5.3
0,3,9,2
0,9,8,3
1,53,18,5.4
9,13,7,5.4
1,3,6,1.2
4,2,1,4
0,1,2,1.9
0,2,0,1.8
1,4,4,1.2
0,4,1,2.3
4,6,3,2
115,10,1,2.4
2,4,1,3
0,11,7,4.4
2,4,1,2.4
0,5,4,1.2
0,3,0,3.4
2,6,1,2.9
193,265,11,7
1,2,2,3.5
4,11,4,3.4
3,18,8,5.5
2,8,1,2.9
1,3,1,2.7
1,5,1,2.7
6,25,12,4.2
64,32,7,4.1
1,7,1,2.7
13,12,1,6.4
3,8,2,3.2
0,29,7,3.5
0,8,8,2.8
1,2,3,2.1
0,2,1,3
3,10,3,3.1
0,13,3,3
5,35,21,4.7
3,6,1,3
15,8,2,2.9
0,20,15,2.7
0,12,9,2.5
4,2,0,4
0,1,0,4.2
5,7,2,2.6
3,6,3,2.2
0,10,1,4.9
1,4,3,2.9
0,1,1,3.8
0,0,1,0.6
0,15,5,2.9
0,1,0,2.7
0,3,1,2.6
3,4,1,2.2
0,5,3,1.9
0,13,9,1.2
1,5,5,4.4
2,8,3,2.3
0,9,10,2.2
1,9,3,2.1
0,2,3,3
6,5,1,2.8
0,2,2,1.6
0,13,8,3.9
0,2,1,1.4
1,1,0,4
0,32,16,6.6
0,8,5,6.4
0,6,5,4.1
1,8,11,1.2
0,3,6,1.4
0,2,2,2.8
0,49,4,5
1,4,5,1.8
0,2,1,4.4
1,7,4,2.3
0,0,2,0.9
1,4,3,1.3
1,12,5,3.5
11,6,2,1.6
1,92,36,4.7
0,2,4,0.9
0,2,3,2.4
2,3,2,0.3
0,9,1,2.2
44,31,8,4.1
1,2,1,0.8
0,30,44,3.8
